,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
5534,0,1,21.0,0.0,55329.0,10040.0,65364.0,0.0,125000.0,4.5864,1.0,0.6171374093986182
5536,0,0,22.0,0.0,13279.0,0.0,0.0,0.0,12000.0,10.658333333333333,1.0,0.8778325656282663
5545,1,0,32.0,0.0,15161825.0,2009869.0,4028451.0,0.0,20000000.0,6.000725,1.0,0.7335290364579998
5548,1,0,41.0,0.0,193907.0,20078.0,70447.0,0.0,270000.0,5.345185185185185,1.0,0.7442398380754607
5553,0,0,18.0,-88998.0,122922.0,0.0,0.0,0.0,121002.0,1.586750632220955,1.0,0.5585083234572116
5559,0,0,29.0,0.0,77461.0,10042.0,20133.0,0.0,100000.0,7.636,1.0,0.83316365098125
5561,1,0,33.0,0.0,12494037.0,301732.0,1035609.0,0.0,13500000.0,2.454651851851852,1.0,0.5767043878928058
5564,0,0,24.0,0.0,0.0,503896.0,0.0,0.0,500000.0,0.7792,1.0,0.5648092116985644
5565,0,1,30.0,-1000000.0,758167.0,30126.0,130324.0,0.0,900000.0,2.0685555555555553,1.0,0.5490161341016913
5572,1,0,29.0,0.0,1301333.0,240952.0,1083464.0,0.0,2500000.0,5.02996,1.0,0.6753248840370717
5577,1,0,36.0,0.0,123120.0,20065.0,110745.0,0.0,250000.0,1.572,1.0,0.5658054160851392
5578,0,0,43.0,0.0,210080.0,100030.0,0.0,0.0,300000.0,3.3700000000000006,1.0,0.7685378418449734
5579,1,1,52.0,0.0,264761.0,50221.0,250751.0,0.0,550000.0,2.8605454545454547,1.0,0.6289911168848205
5580,0,0,22.0,0.0,1329759.0,266383.0,1268505.0,0.0,2745000.0,4.35872495446266,1.0,0.705847813435728
5581,1,0,36.0,3870000.0,0.0,0.0,40265.0,9761177.0,9652500.0,1.543040663040663,1.0,0.6248910346397748
5586,1,0,40.0,0.0,326584.0,0.0,0.0,0.0,300000.0,8.861333333333334,1.0,0.8416373631090566
5590,1,0,44.0,0.0,98337.0,20071.0,90499.0,0.0,200000.0,4.4535,1.0,0.7282550425641257
5591,0,0,29.0,0.0,52694.0,10063.0,40140.0,0.0,100000.0,2.897,1.0,0.6809115505582596
5596,0,0,25.0,0.0,54567.0,10036.0,40221.0,0.0,100000.0,4.824,1.0,0.7314349269313022
5597,0,0,24.0,0.0,0.0,0.0,201223.0,0.0,200000.0,0.6114999999999999,1.0,0.5559802962632382
5599,1,0,21.0,0.0,1465078.0,412232.0,1325457.0,0.0,3100000.0,3.3150645161290324,1.0,0.5576120701250681
5605,1,0,25.0,0.0,77198.0,110431.0,20137.0,0.0,200000.0,3.8830000000000005,1.0,0.5983542462928911
5606,0,0,35.0,0.0,0.0,100748.0,0.0,0.0,100000.0,0.748,1.0,0.628635762061105
5618,1,0,41.0,0.0,55329.0,10040.0,40265.0,0.0,100000.0,5.634,1.0,0.7539519690960975
5619,0,0,28.0,0.0,0.0,1004709.0,0.0,0.0,1000000.0,0.47090000000000004,1.0,0.5791341731790142
